bartels_rotation_number,rigidity_min GV,rigidity_max GV,proton_flux m^-2sr^-1s^-1GV^-1,proton_flux_error_statistical m^-2sr^-1s^-1GV^-1,proton_flux_error_timedependent m^-2sr^-1s^-1GV^-1,proton_flux_error_systematic_total m^-2sr^-1s^-1GV^-1
2454,2.97,4.02,2.098E+2,0.001E+2,0.008E+2,0.024E+2
2454,4.02,4.88,1.387E+2,0.001E+2,0.006E+2,0.016E+2
2454,4.88,5.90,9.578E+1,0.005E+1,0.045E+1,0.108E+1
2454,5.90,7.09,6.478E+1,0.003E+1,0.030E+1,0.074E+1
2454,7.09,8.48,4.316E+1,0.002E+1,0.020E+1,0.049E+1
2454,8.48,11.00,2.571E+1,0.001E+1,0.010E+1,0.029E+1
2454,11.00,16.60,1.114E+1,0.000E+1,0.003E+1,0.013E+1
2454,16.60,22.80,4.270E+0,0.002E+0,0.014E+0,0.051E+0
2454,22.80,41.90,1.239E+0,0.001E+0,0.003E+0,0.015E+0
2455,1.00,1.92,4.745E+2,0.002E+2,0.021E+2,0.091E+2
2455,1.92,2.97,3.422E+2,0.001E+2,0.007E+2,0.041E+2
2455,2.97,4.02,2.128E+2,0.001E+2,0.004E+2,0.023E+2
2455,4.02,4.88,1.405E+2,0.001E+2,0.003E+2,0.015E+2
2455,4.88,5.90,9.717E+1,0.005E+1,0.021E+1,0.102E+1
2455,5.90,7.09,6.572E+1,0.003E+1,0.014E+1,0.069E+1
2455,7.09,8.48,4.376E+1,0.002E+1,0.009E+1,0.047E+1
2455,8.48,11.00,2.600E+1,0.001E+1,0.004E+1,0.028E+1
2455,11.00,16.60,1.119E+1,0.000E+1,0.002E+1,0.012E+1
2455,16.60,22.80,4.273E+0,0.002E+0,0.006E+0,0.049E+0
2455,22.80,41.90,1.240E+0,0.001E+0,0.001E+0,0.015E+0
2456,1.00,1.92,4.697E+2,0.002E+2,0.023E+2,0.090E+2
2456,1.92,2.97,3.422E+2,0.001E+2,0.009E+2,0.042E+2
2456,2.97,4.02,2.140E+2,0.001E+2,0.006E+2,0.024E+2
2456,4.02,4.88,1.415E+2,0.001E+2,0.005E+2,0.015E+2
2456,4.88,5.90,9.784E+1,0.005E+1,0.032E+1,0.105E+1
2456,5.90,7.09,6.618E+1,0.003E+1,0.021E+1,0.072E+1
2456,7.09,8.48,4.400E+1,0.002E+1,0.014E+1,0.048E+1
2456,8.48,11.00,2.614E+1,0.001E+1,0.007E+1,0.029E+1
2456,11.00,16.60,1.127E+1,0.000E+1,0.002E+1,0.013E+1
2456,16.60,22.80,4.307E+0,0.002E+0,0.010E+0,0.050E+0
2456,22.80,41.90,1.245E+0,0.001E+0,0.002E+0,0.015E+0
2457,1.00,1.92,4.371E+2,0.002E+2,0.020E+2,0.084E+2
2457,1.92,2.97,3.287E+2,0.001E+2,0.008E+2,0.040E+2
2457,2.97,4.02,2.099E+2,0.001E+2,0.004E+2,0.023E+2
2457,4.02,4.88,1.403E+2,0.001E+2,0.003E+2,0.015E+2
2457,4.88,5.90,9.759E+1,0.005E+1,0.023E+1,0.103E+1
2457,5.90,7.09,6.632E+1,0.003E+1,0.015E+1,0.070E+1
2457,7.09,8.48,4.421E+1,0.002E+1,0.010E+1,0.047E+1
2457,8.48,11.00,2.632E+1,0.001E+1,0.005E+1,0.028E+1
2457,11.00,16.60,1.135E+1,0.001E+1,0.002E+1,0.013E+1
2457,16.60,22.80,4.330E+0,0.003E+0,0.007E+0,0.050E+0
2457,22.80,41.90,1.253E+0,0.001E+0,0.002E+0,0.015E+0
2458,1.00,1.92,4.472E+2,0.002E+2,0.021E+2,0.086E+2
2458,1.92,2.97,3.401E+2,0.001E+2,0.008E+2,0.041E+2
2458,2.97,4.02,2.180E+2,0.001E+2,0.005E+2,0.024E+2
2458,4.02,4.88,1.455E+2,0.001E+2,0.004E+2,0.016E+2
2458,4.88,5.90,1.011E+2,0.000E+2,0.003E+2,0.011E+2
2458,5.90,7.09,6.817E+1,0.003E+1,0.017E+1,0.073E+1
2458,7.09,8.48,4.523E+1,0.002E+1,0.011E+1,0.049E+1
2458,8.48,11.00,2.684E+1,0.001E+1,0.005E+1,0.029E+1
2458,11.00,16.60,1.149E+1,0.001E+1,0.002E+1,0.013E+1
2458,16.60,22.80,4.359E+0,0.002E+0,0.008E+0,0.050E+0
2458,22.80,41.90,1.256E+0,0.001E+0,0.002E+0,0.015E+0
2459,1.00,1.92,4.431E+2,0.002E+2,0.021E+2,0.085E+2
2459,1.92,2.97,3.397E+2,0.001E+2,0.007E+2,0.041E+2
2459,2.97,4.02,2.176E+2,0.001E+2,0.004E+2,0.023E+2
2459,4.02,4.88,1.451E+2,0.001E+2,0.003E+2,0.015E+2
2459,4.88,5.90,1.004E+2,0.001E+2,0.002E+2,0.010E+2
2459,5.90,7.09,6.770E+1,0.004E+1,0.013E+1,0.071E+1
2459,7.09,8.48,4.491E+1,0.003E+1,0.009E+1,0.048E+1
2459,8.48,11.00,2.661E+1,0.001E+1,0.004E+1,0.029E+1
2459,11.00,16.60,1.143E+1,0.001E+1,0.001E+1,0.013E+1
2459,16.60,22.80,4.346E+0,0.003E+0,0.006E+0,0.050E+0
2459,22.80,41.90,1.254E+0,0.001E+0,0.001E+0,0.015E+0
2460,1.00,1.92,4.315E+2,0.002E+2,0.021E+2,0.083E+2
2460,1.92,2.97,3.356E+2,0.001E+2,0.008E+2,0.041E+2
2460,2.97,4.02,2.149E+2,0.001E+2,0.005E+2,0.023E+2
2460,4.02,4.88,1.432E+2,0.001E+2,0.003E+2,0.015E+2
2460,4.88,5.90,9.930E+1,0.005E+1,0.024E+1,0.105E+1
2460,5.90,7.09,6.712E+1,0.003E+1,0.016E+1,0.071E+1
2460,7.09,8.48,4.460E+1,0.002E+1,0.011E+1,0.048E+1
2460,8.48,11.00,2.647E+1,0.001E+1,0.005E+1,0.029E+1
2460,11.00,16.60,1.138E+1,0.000E+1,0.002E+1,0.013E+1
2460,16.60,22.80,4.332E+0,0.002E+0,0.007E+0,0.050E+0
2460,22.80,41.90,1.250E+0,0.001E+0,0.002E+0,0.015E+0
2461,1.00,1.92,4.272E+2,0.002E+2,0.023E+2,0.082E+2
2461,1.92,2.97,3.323E+2,0.001E+2,0.010E+2,0.041E+2
2461,2.97,4.02,2.141E+2,0.001E+2,0.006E+2,0.024E+2
2461,4.02,4.88,1.427E+2,0.001E+2,0.005E+2,0.016E+2
2461,4.88,5.90,9.894E+1,0.005E+1,0.035E+1,0.108E+1
2461,5.90,7.09,6.675E+1,0.003E+1,0.024E+1,0.073E+1
2461,7.09,8.48,4.439E+1,0.002E+1,0.016E+1,0.049E+1
2461,8.48,11.00,2.633E+1,0.001E+1,0.008E+1,0.029E+1
2461,11.00,16.60,1.133E+1,0.000E+1,0.003E+1,0.013E+1
2461,16.60,22.80,4.308E+0,0.002E+0,0.011E+0,0.050E+0
2461,22.80,41.90,1.244E+0,0.001E+0,0.002E+0,0.015E+0
2462,1.00,1.92,4.269E+2,0.002E+2,0.022E+2,0.082E+2
2462,1.92,2.97,3.376E+2,0.001E+2,0.009E+2,0.041E+2
2462,2.97,4.02,2.160E+2,0.001E+2,0.006E+2,0.024E+2
2462,4.02,4.88,1.432E+2,0.001E+2,0.004E+2,0.015E+2
2462,4.88,5.90,9.898E+1,0.005E+1,0.030E+1,0.106E+1
2462,5.90,7.09,6.672E+1,0.003E+1,0.020E+1,0.072E+1
2462,7.09,8.48,4.428E+1,0.002E+1,0.014E+1,0.048E+1
2462,8.48,11.00,2.626E+1,0.001E+1,0.007E+1,0.029E+1
2462,11.00,16.60,1.128E+1,0.000E+1,0.002E+1,0.013E+1
2462,16.60,22.80,4.285E+0,0.002E+0,0.009E+0,0.050E+0
2462,22.80,41.90,1.240E+0,0.001E+0,0.002E+0,0.015E+0
2463,1.00,1.92,4.080E+2,0.002E+2,0.021E+2,0.079E+2
2463,1.92,2.97,3.128E+2,0.001E+2,0.008E+2,0.038E+2
2463,2.97,4.02,2.003E+2,0.001E+2,0.004E+2,0.022E+2
2463,4.02,4.88,1.337E+2,0.001E+2,0.003E+2,0.014E+2
2463,4.88,5.90,9.317E+1,0.005E+1,0.023E+1,0.098E+1
2463,5.90,7.09,6.327E+1,0.003E+1,0.015E+1,0.067E+1
2463,7.09,8.48,4.235E+1,0.002E+1,0.010E+1,0.045E+1
2463,8.48,11.00,2.534E+1,0.001E+1,0.005E+1,0.027E+1
2463,11.00,16.60,1.102E+1,0.000E+1,0.002E+1,0.012E+1
2463,16.60,22.80,4.238E+0,0.002E+0,0.007E+0,0.049E+0
2463,22.80,41.90,1.230E+0,0.001E+0,0.002E+0,0.015E+0
2464,1.00,1.92,4.099E+2,0.002E+2,0.022E+2,0.079E+2
2464,1.92,2.97,3.232E+2,0.001E+2,0.008E+2,0.039E+2
2464,2.97,4.02,2.078E+2,0.001E+2,0.005E+2,0.023E+2
2464,4.02,4.88,1.389E+2,0.001E+2,0.004E+2,0.015E+2
2464,4.88,5.90,9.667E+1,0.005E+1,0.025E+1,0.102E+1
2464,5.90,7.09,6.556E+1,0.003E+1,0.017E+1,0.070E+1
2464,7.09,8.48,4.378E+1,0.002E+1,0.011E+1,0.047E+1
2464,8.48,11.00,2.609E+1,0.001E+1,0.006E+1,0.028E+1
2464,11.00,16.60,1.127E+1,0.000E+1,0.002E+1,0.013E+1
2464,16.60,22.80,4.301E+0,0.002E+0,0.008E+0,0.050E+0
2464,22.80,41.90,1.244E+0,0.001E+0,0.002E+0,0.015E+0
2465,1.00,1.92,4.209E+2,0.002E+2,0.023E+2,0.081E+2
2465,1.92,2.97,3.282E+2,0.001E+2,0.009E+2,0.040E+2
2465,2.97,4.02,2.095E+2,0.001E+2,0.005E+2,0.023E+2
2465,4.02,4.88,1.394E+2,0.001E+2,0.004E+2,0.015E+2
2465,4.88,5.90,9.678E+1,0.005E+1,0.027E+1,0.103E+1
2465,5.90,7.09,6.553E+1,0.003E+1,0.018E+1,0.070E+1
2465,7.09,8.48,4.362E+1,0.002E+1,0.012E+1,0.047E+1
2465,8.48,11.00,2.596E+1,0.001E+1,0.006E+1,0.028E+1
2465,11.00,16.60,1.121E+1,0.000E+1,0.002E+1,0.012E+1
2465,16.60,22.80,4.280E+0,0.002E+0,0.008E+0,0.050E+0
2465,22.80,41.90,1.239E+0,0.001E+0,0.002E+0,0.015E+0
2466,1.00,1.92,4.531E+2,0.002E+2,0.025E+2,0.088E+2
2466,1.92,2.97,3.499E+2,0.001E+2,0.010E+2,0.043E+2
2466,2.97,4.02,2.210E+2,0.001E+2,0.006E+2,0.024E+2
2466,4.02,4.88,1.460E+2,0.001E+2,0.004E+2,0.016E+2
2466,4.88,5.90,1.008E+2,0.000E+2,0.003E+2,0.011E+2
2466,5.90,7.09,6.782E+1,0.003E+1,0.020E+1,0.073E+1
2466,7.09,8.48,4.486E+1,0.002E+1,0.013E+1,0.049E+1
2466,8.48,11.00,2.653E+1,0.001E+1,0.006E+1,0.029E+1
2466,11.00,16.60,1.136E+1,0.000E+1,0.002E+1,0.013E+1
2466,16.60,22.80,4.304E+0,0.002E+0,0.009E+0,0.050E+0
2466,22.80,41.90,1.242E+0,0.001E+0,0.002E+0,0.015E+0
2467,1.00,1.92,4.498E+2,0.002E+2,0.026E+2,0.087E+2
2467,1.92,2.97,3.433E+2,0.001E+2,0.012E+2,0.043E+2
2467,2.97,4.02,2.159E+2,0.001E+2,0.008E+2,0.024E+2
2467,4.02,4.88,1.427E+2,0.001E+2,0.006E+2,0.016E+2
2467,4.88,5.90,9.833E+1,0.005E+1,0.042E+1,0.109E+1
2467,5.90,7.09,6.625E+1,0.003E+1,0.029E+1,0.074E+1
2467,7.09,8.48,4.393E+1,0.002E+1,0.019E+1,0.050E+1
2467,8.48,11.00,2.606E+1,0.001E+1,0.009E+1,0.029E+1
2467,11.00,16.60,1.120E+1,0.000E+1,0.003E+1,0.013E+1
2467,16.60,22.80,4.261E+0,0.002E+0,0.013E+0,0.050E+0
2467,22.80,41.90,1.235E+0,0.001E+0,0.003E+0,0.015E+0
2468,1.00,1.92,4.315E+2,0.002E+2,0.023E+2,0.083E+2
2468,1.92,2.97,3.302E+2,0.001E+2,0.008E+2,0.040E+2
2468,2.97,4.02,2.095E+2,0.001E+2,0.004E+2,0.023E+2
2468,4.02,4.88,1.391E+2,0.001E+2,0.003E+2,0.015E+2
2468,4.88,5.90,9.649E+1,0.005E+1,0.023E+1,0.102E+1
2468,5.90,7.09,6.538E+1,0.003E+1,0.016E+1,0.069E+1
2468,7.09,8.48,4.351E+1,0.002E+1,0.010E+1,0.047E+1
2468,8.48,11.00,2.590E+1,0.001E+1,0.005E+1,0.028E+1
2468,11.00,16.60,1.118E+1,0.000E+1,0.002E+1,0.012E+1
2468,16.60,22.80,4.269E+0,0.002E+0,0.007E+0,0.049E+0
2468,22.80,41.90,1.234E+0,0.001E+0,0.002E+0,0.015E+0
2469,1.00,1.92,4.716E+2,0.002E+2,0.025E+2,0.091E+2
2469,1.92,2.97,3.581E+2,0.001E+2,0.010E+2,0.044E+2
2469,2.97,4.02,2.235E+2,0.001E+2,0.006E+2,0.025E+2
2469,4.02,4.88,1.470E+2,0.001E+2,0.005E+2,0.016E+2
2469,4.88,5.90,1.011E+2,0.000E+2,0.003E+2,0.011E+2
2469,5.90,7.09,6.794E+1,0.003E+1,0.021E+1,0.073E+1
2469,7.09,8.48,4.496E+1,0.002E+1,0.014E+1,0.049E+1
2469,8.48,11.00,2.660E+1,0.001E+1,0.007E+1,0.029E+1
2469,11.00,16.60,1.137E+1,0.000E+1,0.002E+1,0.013E+1
2469,16.60,22.80,4.297E+0,0.002E+0,0.009E+0,0.050E+0
2469,22.80,41.90,1.237E+0,0.001E+0,0.002E+0,0.015E+0
2470,1.00,1.92,5.318E+2,0.002E+2,0.028E+2,0.103E+2
2470,1.92,2.97,3.797E+2,0.001E+2,0.009E+2,0.046E+2
2470,2.97,4.02,2.314E+2,0.001E+2,0.005E+2,0.025E+2
2470,4.02,4.88,1.502E+2,0.001E+2,0.004E+2,0.016E+2
2470,4.88,5.90,1.024E+2,0.000E+2,0.002E+2,0.011E+2
2470,5.90,7.09,6.843E+1,0.003E+1,0.017E+1,0.073E+1
2470,7.09,8.48,4.504E+1,0.002E+1,0.011E+1,0.048E+1
2470,8.48,11.00,2.650E+1,0.001E+1,0.005E+1,0.029E+1
2470,11.00,16.60,1.129E+1,0.000E+1,0.002E+1,0.013E+1
2470,16.60,22.80,4.276E+0,0.002E+0,0.007E+0,0.049E+0
2470,22.80,41.90,1.232E+0,0.001E+0,0.002E+0,0.015E+0
2471,1.00,1.92,5.223E+2,0.003E+2,0.027E+2,0.101E+2
2471,1.92,2.97,3.772E+2,0.002E+2,0.011E+2,0.046E+2
2471,2.97,4.02,2.290E+2,0.001E+2,0.006E+2,0.025E+2
2471,4.02,4.88,1.481E+2,0.001E+2,0.005E+2,0.016E+2
2471,4.88,5.90,1.008E+2,0.001E+2,0.003E+2,0.011E+2
2471,5.90,7.09,6.712E+1,0.004E+1,0.021E+1,0.073E+1
2471,7.09,8.48,4.414E+1,0.003E+1,0.014E+1,0.048E+1
2471,8.48,11.00,2.600E+1,0.001E+1,0.007E+1,0.028E+1
2471,11.00,16.60,1.111E+1,0.001E+1,0.002E+1,0.012E+1
2471,16.60,22.80,4.213E+0,0.003E+0,0.009E+0,0.049E+0
2471,22.80,41.90,1.223E+0,0.001E+0,0.002E+0,0.014E+0
2474,1.00,1.92,5.488E+2,0.002E+2,0.026E+2,0.106E+2
2474,1.92,2.97,3.711E+2,0.001E+2,0.007E+2,0.045E+2
2474,2.97,4.02,2.191E+2,0.001E+2,0.003E+2,0.024E+2
2474,4.02,4.88,1.406E+2,0.001E+2,0.002E+2,0.015E+2
2474,4.88,5.90,9.562E+1,0.005E+1,0.015E+1,0.099E+1
2474,5.90,7.09,6.392E+1,0.003E+1,0.010E+1,0.067E+1
2474,7.09,8.48,4.221E+1,0.002E+1,0.006E+1,0.045E+1
2474,8.48,11.00,2.501E+1,0.001E+1,0.003E+1,0.027E+1
2474,11.00,16.60,1.079E+1,0.000E+1,0.001E+1,0.012E+1
2474,16.60,22.80,4.138E+0,0.002E+0,0.004E+0,0.047E+0
2474,22.80,41.90,1.204E+0,0.001E+0,0.001E+0,0.014E+0
2475,1.00,1.92,5.366E+2,0.003E+2,0.025E+2,0.103E+2
2475,1.92,2.97,3.669E+2,0.001E+2,0.007E+2,0.044E+2
2475,2.97,4.02,2.196E+2,0.001E+2,0.004E+2,0.024E+2
2475,4.02,4.88,1.423E+2,0.001E+2,0.003E+2,0.015E+2
2475,4.88,5.90,9.743E+1,0.005E+1,0.017E+1,0.101E+1
2475,5.90,7.09,6.529E+1,0.003E+1,0.012E+1,0.069E+1
2475,7.09,8.48,4.314E+1,0.002E+1,0.008E+1,0.046E+1
2475,8.48,11.00,2.553E+1,0.001E+1,0.004E+1,0.027E+1
2475,11.00,16.60,1.096E+1,0.000E+1,0.001E+1,0.012E+1
2475,16.60,22.80,4.164E+0,0.002E+0,0.005E+0,0.048E+0
2475,22.80,41.90,1.212E+0,0.001E+0,0.001E+0,0.014E+0
2476,1.00,1.92,5.363E+2,0.002E+2,0.024E+2,0.103E+2
2476,1.92,2.97,3.668E+2,0.001E+2,0.007E+2,0.044E+2
2476,2.97,4.02,2.199E+2,0.001E+2,0.003E+2,0.024E+2
2476,4.02,4.88,1.422E+2,0.001E+2,0.002E+2,0.015E+2
2476,4.88,5.90,9.711E+1,0.005E+1,0.015E+1,0.101E+1
2476,5.90,7.09,6.505E+1,0.003E+1,0.010E+1,0.068E+1
2476,7.09,8.48,4.299E+1,0.002E+1,0.007E+1,0.045E+1
2476,8.48,11.00,2.542E+1,0.001E+1,0.003E+1,0.027E+1
2476,11.00,16.60,1.094E+1,0.000E+1,0.001E+1,0.012E+1
2476,16.60,22.80,4.173E+0,0.002E+0,0.004E+0,0.048E+0
2476,22.80,41.90,1.212E+0,0.001E+0,0.001E+0,0.014E+0
2477,1.00,1.92,5.031E+2,0.002E+2,0.022E+2,0.097E+2
2477,1.92,2.97,3.511E+2,0.001E+2,0.006E+2,0.042E+2
2477,2.97,4.02,2.131E+2,0.001E+2,0.003E+2,0.023E+2
2477,4.02,4.88,1.390E+2,0.001E+2,0.002E+2,0.015E+2
2477,4.88,5.90,9.529E+1,0.005E+1,0.014E+1,0.099E+1
2477,5.90,7.09,6.408E+1,0.003E+1,0.010E+1,0.067E+1
2477,7.09,8.48,4.249E+1,0.002E+1,0.006E+1,0.045E+1
2477,8.48,11.00,2.524E+1,0.001E+1,0.003E+1,0.027E+1
2477,11.00,16.60,1.091E+1,0.000E+1,0.001E+1,0.012E+1
2477,16.60,22.80,4.184E+0,0.002E+0,0.004E+0,0.048E+0
2477,22.80,41.90,1.218E+0,0.001E+0,0.001E+0,0.014E+0
2478,1.00,1.92,4.592E+2,0.002E+2,0.019E+2,0.088E+2
2478,1.92,2.97,3.279E+2,0.001E+2,0.006E+2,0.040E+2
2478,2.97,4.02,2.027E+2,0.001E+2,0.003E+2,0.022E+2
2478,4.02,4.88,1.336E+2,0.001E+2,0.002E+2,0.014E+2
2478,4.88,5.90,9.247E+1,0.005E+1,0.016E+1,0.096E+1
2478,5.90,7.09,6.270E+1,0.003E+1,0.011E+1,0.066E+1
2478,7.09,8.48,4.182E+1,0.002E+1,0.007E+1,0.044E+1
2478,8.48,11.00,2.498E+1,0.001E+1,0.003E+1,0.027E+1
2478,11.00,16.60,1.086E+1,0.000E+1,0.001E+1,0.012E+1
2478,16.60,22.80,4.168E+0,0.002E+0,0.005E+0,0.048E+0
2478,22.80,41.90,1.217E+0,0.001E+0,0.001E+0,0.014E+0
2479,1.00,1.92,4.600E+2,0.002E+2,0.019E+2,0.088E+2
2479,1.92,2.97,3.355E+2,0.001E+2,0.007E+2,0.040E+2
2479,2.97,4.02,2.093E+2,0.001E+2,0.003E+2,0.023E+2
2479,4.02,4.88,1.382E+2,0.001E+2,0.003E+2,0.015E+2
2479,4.88,5.90,9.553E+1,0.005E+1,0.018E+1,0.100E+1
2479,5.90,7.09,6.450E+1,0.003E+1,0.012E+1,0.068E+1
2479,7.09,8.48,4.287E+1,0.002E+1,0.008E+1,0.045E+1
2479,8.48,11.00,2.553E+1,0.001E+1,0.004E+1,0.027E+1
2479,11.00,16.60,1.103E+1,0.000E+1,0.001E+1,0.012E+1
2479,16.60,22.80,4.217E+0,0.002E+0,0.005E+0,0.048E+0
2479,22.80,41.90,1.225E+0,0.001E+0,0.001E+0,0.014E+0
2480,1.00,1.92,5.130E+2,0.002E+2,0.021E+2,0.098E+2
2480,1.92,2.97,3.721E+2,0.001E+2,0.007E+2,0.045E+2
2480,2.97,4.02,2.275E+2,0.001E+2,0.004E+2,0.025E+2
2480,4.02,4.88,1.477E+2,0.001E+2,0.003E+2,0.016E+2
2480,4.88,5.90,1.009E+2,0.000E+2,0.002E+2,0.011E+2
2480,5.90,7.09,6.741E+1,0.003E+1,0.013E+1,0.071E+1
2480,7.09,8.48,4.445E+1,0.002E+1,0.009E+1,0.047E+1
2480,8.48,11.00,2.621E+1,0.001E+1,0.004E+1,0.028E+1
2480,11.00,16.60,1.119E+1,0.000E+1,0.001E+1,0.012E+1
2480,16.60,22.80,4.246E+0,0.002E+0,0.006E+0,0.049E+0
2480,22.80,41.90,1.227E+0,0.001E+0,0.001E+0,0.014E+0
2481,1.00,1.92,5.331E+2,0.003E+2,0.021E+2,0.102E+2
2481,1.92,2.97,3.745E+2,0.001E+2,0.008E+2,0.045E+2
2481,2.97,4.02,2.252E+2,0.001E+2,0.004E+2,0.024E+2
2481,4.02,4.88,1.456E+2,0.001E+2,0.003E+2,0.015E+2
2481,4.88,5.90,9.904E+1,0.005E+1,0.021E+1,0.104E+1
2481,5.90,7.09,6.605E+1,0.003E+1,0.014E+1,0.070E+1
2481,7.09,8.48,4.351E+1,0.002E+1,0.009E+1,0.046E+1
2481,8.48,11.00,2.565E+1,0.001E+1,0.004E+1,0.028E+1
2481,11.00,16.60,1.097E+1,0.000E+1,0.001E+1,0.012E+1
2481,16.60,22.80,4.187E+0,0.002E+0,0.006E+0,0.048E+0
2481,22.80,41.90,1.218E+0,0.001E+0,0.001E+0,0.014E+0
2482,1.00,1.92,5.721E+2,0.003E+2,0.022E+2,0.109E+2
2482,1.92,2.97,3.931E+2,0.002E+2,0.008E+2,0.047E+2
2482,2.97,4.02,2.339E+2,0.001E+2,0.004E+2,0.025E+2
2482,4.02,4.88,1.507E+2,0.001E+2,0.003E+2,0.016E+2
2482,4.88,5.90,1.022E+2,0.000E+2,0.002E+2,0.011E+2
2482,5.90,7.09,6.793E+1,0.003E+1,0.014E+1,0.072E+1
2482,7.09,8.48,4.462E+1,0.002E+1,0.009E+1,0.047E+1
2482,8.48,11.00,2.622E+1,0.001E+1,0.004E+1,0.028E+1
2482,11.00,16.60,1.119E+1,0.000E+1,0.001E+1,0.012E+1
2482,16.60,22.80,4.248E+0,0.002E+0,0.006E+0,0.049E+0
2482,22.80,41.90,1.229E+0,0.001E+0,0.001E+0,0.014E+0
2483,1.00,1.92,5.981E+2,0.003E+2,0.024E+2,0.115E+2
2483,1.92,2.97,4.065E+2,0.002E+2,0.009E+2,0.049E+2
2483,2.97,4.02,2.405E+2,0.001E+2,0.005E+2,0.026E+2
2483,4.02,4.88,1.534E+2,0.001E+2,0.004E+2,0.016E+2
2483,4.88,5.90,1.037E+2,0.000E+2,0.003E+2,0.011E+2
2483,5.90,7.09,6.861E+1,0.003E+1,0.018E+1,0.073E+1
2483,7.09,8.48,4.488E+1,0.002E+1,0.012E+1,0.048E+1
2483,8.48,11.00,2.628E+1,0.001E+1,0.006E+1,0.028E+1
2483,11.00,16.60,1.116E+1,0.000E+1,0.002E+1,0.012E+1
2483,16.60,22.80,4.230E+0,0.002E+0,0.008E+0,0.049E+0
2483,22.80,41.90,1.223E+0,0.001E+0,0.002E+0,0.014E+0
2484,1.00,1.92,6.076E+2,0.003E+2,0.025E+2,0.116E+2
2484,1.92,2.97,4.110E+2,0.002E+2,0.007E+2,0.049E+2
2484,2.97,4.02,2.409E+2,0.001E+2,0.004E+2,0.026E+2
2484,4.02,4.88,1.530E+2,0.001E+2,0.003E+2,0.016E+2
2484,4.88,5.90,1.032E+2,0.000E+2,0.002E+2,0.011E+2
2484,5.90,7.09,6.819E+1,0.003E+1,0.012E+1,0.072E+1
2484,7.09,8.48,4.457E+1,0.002E+1,0.008E+1,0.047E+1
2484,8.48,11.00,2.613E+1,0.001E+1,0.004E+1,0.028E+1
2484,11.00,16.60,1.114E+1,0.000E+1,0.001E+1,0.012E+1
