Carr Rot,Start Date,R_av,R_n,R_s,L_av,L_n,L_s
CR 2075,2008-09-26 19h,9.7,11.3,-8,26.1,24.1,-28.1
CR 2076,2008-10-24 02h,9,8.6,-9.3,24.4,20.6,-28.2
CR 2077,2008-11-20 09h,10.7,10.7,-10.7,27.6,28.1,-27.1
CR 2078,2008-12-17 15h,8.1,5.7,-10.6,22.1,21,-23.3
CR 2079,2009-01-13 22h,9.6,2.7,-16.4,21.7,16.7,-26.8
CR 2080,2009-02-10 04h,10.4,3.4,-17.4,24.1,19.7,-28.5
CR 2081,2009-03-09 11h,9.7,1.8,-17.7,23.1,17.7,-28.5
CR 2082,2009-04-05 18h,7.7,-0.2,-15.5,20.2,13.3,-27.2
CR 2083,2009-05-03 00h,4.8,-0.9,-10.5,16.4,11.9,-21
CR 2084,2009-05-30 07h,6.6,6.3,-6.8,21.2,24,-18.3
CR 2085,2009-06-26 13h,7.8,9.1,-6.5,21.3,24.9,-17.8
CR 2086,2009-07-23 20h,9.3,12.3,-6.3,20.5,23.9,-17
CR 2087,2009-08-20 03h,5.8,8.1,-3.5,12.8,13.8,-11.8
CR 2088,2009-09-16 09h,5.2,8.3,-2,12,13.5,-10.5
CR 2089,2009-10-13 16h,4.5,7.9,-1.1,10.1,15.3,-4.9
CR 2090,2009-11-09 22h,9.8,10,-9.6,23.1,30.9,-15.2
CR 2091,2009-12-07 05h,17.3,18.9,-15.8,33.5,38.4,-28.5
CR 2092,2010-01-03 12h,25.1,28,-22.2,47,51.7,-42.2
CR 2093,2010-01-30 18h,22.1,23.7,-20.6,43.8,51.2,-36.3
CR 2094,2010-02-27 01h,24,24.5,-23.6,42.1,52.7,-31.6
CR 2095,2010-03-26 07h,23.8,25.2,-22.3,41.5,48.9,-34
CR 2096,2010-04-22 14h,21.6,24.5,-18.6,36.3,45.1,-27.5
CR 2097,2010-05-19 21h,26.2,30.5,-22,37.2,46.9,-27.6
CR 2098,2010-06-16 03h,23.4,24.4,-22.3,27.9,31.7,-24.1
CR 2099,2010-07-13 10h,32.6,34.6,-30.5,45.6,48.6,-42.7
CR 2100,2010-08-09 16h,25.7,27.2,-24.1,41.2,44.4,-38.1
CR 2101,2010-09-05 23h,33,31,-35.1,49.6,50.7,-48.5
CR 2102,2010-10-03 06h,23.6,23.4,-23.9,43.5,47.1,-40
CR 2103,2010-10-30 12h,21.4,16.9,-26,40.4,40.9,-40
CR 2104,2010-11-26 19h,17.8,11.5,-24.1,48.8,54.5,-43.1
CR 2105,2010-12-24 01h,36.4,43.2,-29.6,48.2,54.1,-42.3
CR 2106,2011-01-20 08h,54.3,74.7,-33.8,53.6,61.4,-45.8
CR 2107,2011-02-16 15h,54.9,71.8,-38.1,56.1,67.4,-44.7
CR 2108,2011-03-15 21h,62.4,73.2,-51.6,65.2,70.9,-59.4
CR 2109,2011-04-12 04h,64.1,74.4,-53.7,69.9,75,-64.8
CR 2110,2011-05-09 11h,56.3,69.7,-42.8,63.7,70.5,-57
CR 2111,2011-06-05 17h,45.2,51.1,-39.4,63.5,69.2,-57.8
CR 2112,2011-07-03 00h,42.3,41.9,-42.7,64.5,65.4,-63.6
CR 2113,2011-07-30 06h,47.8,50,-45.6,67.1,68.8,-65.4
CR 2114,2011-08-26 13h,47,47.9,-46,66.7,69.1,-64.3
CR 2115,2011-09-22 20h,57.2,59.9,-54.6,71.1,75.1,-67.1
CR 2116,2011-10-20 02h,49,49.8,-48.3,69.6,73.9,-65.3
CR 2117,2011-11-16 09h,55.8,68.6,-43,66.9,75.1,-58.7
CR 2118,2011-12-13 15h,60.9,73.2,-48.6,68.8,72.2,-65.4
CR 2119,2012-01-09 22h,60.7,72.6,-48.9,67.1,65.7,-68.5
CR 2120,2012-02-06 05h,63.5,73.7,-53.2,70,74.1,-65.9
CR 2121,2012-03-04 11h,58.2,74.6,-41.9,60.4,69.7,-51.2
CR 2122,2012-03-31 18h,54.9,66.2,-43.7,58,64.2,-51.7
CR 2123,2012-04-28 00h,55.9,63.5,-48.3,68,74.7,-61.2
CR 2124,2012-05-25 07h,60.3,57.2,-63.4,74.3,73.7,-74.9
CR 2125,2012-06-21 14h,68.3,70.5,-66.1,74.6,74.2,-75.1
CR 2126,2012-07-18 20h,66.4,67.5,-65.2,73.9,74.5,-73.3
CR 2127,2012-08-15 03h,64.8,63.5,-66.1,73.1,74.9,-71.2
CR 2128,2012-09-11 09h,66.1,73,-59.3,71.6,74.9,-68.3
CR 2129,2012-10-08 16h,70.4,68.3,-72.4,73.4,74.1,-72.7
CR 2130,2012-11-04 23h,67.5,59.9,-75,71.5,68.6,-74.3
CR 2131,2012-12-02 05h,68.7,63.4,-73.9,61.9,72.9,-50.9
CR 2132,2012-12-29 12h,64.2,56,-72.4,73.1,72.4,-73.8
CR 2133,2013-01-25 18h,70.3,69.9,-70.8,71.5,75,-68
CR 2134,2013-02-22 01h,73.2,72.8,-73.6,64.8,69.2,-60.5
CR 2135,2013-03-21 08h,69.2,64.9,-73.6,73.6,72.3,-74.8
CR 2136,2013-04-17 14h,68.7,63.6,-73.7,70.1,65.5,-74.8
CR 2137,2013-05-14 21h,67.9,74.9,-60.8,68.9,62.6,-75.1
CR 2138,2013-06-11 03h,61.9,72.9,-50.9,71.7,69.3,-74
CR 2139,2013-07-08 10h,67.7,70,-65.5,73,75,-70.9
CR 2140,2013-08-04 17h,67.6,71.1,-64.2,68.3,69.8,-66.9
CR 2141,2013-08-31 23h,59.6,63.2,-55.9,68.3,74.9,-61.7
CR 2142,2013-09-28 06h,60.8,59,-62.5,70.4,74.5,-66.3
CR 2143,2013-10-25 13h,57.6,57.7,-57.6,67.2,71.3,-63
CR 2144,2013-11-21 19h,59.9,74.9,-44.9,66.9,73.8,-60
CR 2145,2013-12-19 02h,63.1,74.3,-51.9,66.5,74.1,-58.9
CR 2146,2014-01-15 08h,66.3,74.5,-58,64.4,72.6,-56.3
CR 2147,2014-02-11 15h,70.5,74.7,-66.2,68.7,73.8,-63.5
CR 2148,2014-03-10 22h,54.4,69.5,-39.4,60.5,75,-45.9
CR 2149,2014-04-07 04h,48.9,51.2,-46.5,62.7,74.3,-51.1
CR 2150,2014-05-04 11h,28.9,18.5,-39.4,56.7,65.3,-48.1
CR 2151,2014-05-31 17h,25.4,17.2,-33.6,48.8,54.4,-43.2
CR 2152,2014-06-28 00h,24.8,22.3,-27.3,48.1,58.5,-37.7
CR 2153,2014-07-25 07h,40.2,31.9,-48.6,58.8,65.9,-51.8
CR 2154,2014-08-21 13h,49.4,45.7,-53.1,60,62.2,-57.9
CR 2155,2014-09-17 20h,65.5,71,-60,69.1,74.7,-63.6
CR 2156,2014-10-15 02h,64.9,64.6,-65.1,72.5,74.3,-70.7
CR 2157,2014-11-11 09h,41.8,27.6,-56,52.5,40.2,-64.8
CR 2158,2014-12-08 16h,45.1,36.6,-53.7,53.8,45.8,-61.8
CR 2159,2015-01-04 22h,41.5,31.7,-51.2,55.2,48.6,-61.8
CR 2160,2015-02-01 05h,36.1,28.1,-44,50.6,45.6,-55.6
CR 2161,2015-02-28 11h,31.9,26.5,-37.4,49.2,47.3,-51.1
CR 2162,2015-03-27 18h,24,16,-32,44.6,44.4,-44.8
CR 2163,2015-04-24 01h,27.9,25.3,-30.5,43.3,44.4,-42.2
CR 2164,2015-05-21 07h,35.9,37.4,-34.5,51.4,58.5,-44.4
CR 2165,2015-06-17 14h,37.2,45.4,-29,52.7,61.5,-43.9
CR 2166,2015-07-14 20h,31.9,39,-24.8,47.4,56.7,-38.2
CR 2167,2015-08-11 03h,33.7,41.9,-25.4,49.8,59,-40.6
CR 2168,2015-09-07 10h,32.9,42.1,-23.7,48.7,59.2,-38.2
CR 2169,2015-10-04 16h,32.1,40.1,-24,50.4,60.3,-40.5
CR 2170,2015-10-31 23h,30.8,33.2,-28.3,51.4,58,-44.7
CR 2171,2015-11-28 05h,29.3,30.8,-27.7,50.6,57,-44.1
CR 2172,2015-12-25 12h,34.2,38.4,-29.9,50.3,56.2,-44.3
CR 2173,2016-01-21 19h,31.7,31,-32.4,51.2,55.6,-46.8
CR 2174,2016-02-18 01h,25.7,23.3,-28,47.5,50.9,-44.1
CR 2175,2016-03-16 08h,28.9,30.4,-27.5,47.9,53.4,-42.3
CR 2176,2016-04-12 15h,25.8,28.9,-22.6,43.5,51.1,-35.9
CR 2177,2016-05-09 21h,28.1,32.6,-23.6,42.6,50.1,-35.2
CR 2178,2016-06-06 04h,25.6,27.5,-23.8,42.5,48.4,-36.5
CR 2179,2016-07-03 10h,22,19.2,-24.9,39.4,43.8,-35
CR 2180,2016-07-30 17h,25.3,24.6,-26.1,40.5,44.4,-36.6
CR 2181,2016-08-27 00h,26.1,25.8,-26.5,39.1,40.9,-37.4
CR 2182,2016-09-23 06h,28.7,30,-27.3,41.8,42.9,-40.6
CR 2183,2016-10-20 13h,27,26.4,-27.6,43.4,43.8,-43
CR 2184,2016-11-16 19h,24.1,24.2,-24,41.7,41.7,-41.6
CR 2185,2016-12-14 02h,19.6,16.5,-22.8,39.2,38.3,-40.1
CR 2186,2017-01-10 09h,21.3,19.3,-23.3,40.6,39.2,-42
CR 2187,2017-02-06 15h,16.4,16.2,-16.7,35.3,37,-33.6
CR 2188,2017-03-05 22h,13.1,11.7,-14.4,31,31.5,-30.5
CR 2189,2017-04-02 04h,11.7,11.1,-12.2,28.9,32.8,-25
CR 2190,2017-04-29 11h,13,15.6,-10.4,31.4,37.8,-25
CR 2191,2017-05-26 18h,13.9,17,-10.8,31.2,38.2,-24.2
CR 2192,2017-06-23 00h,18.5,23.7,-13.4,32,41.4,-22.7
CR 2193,2017-07-20 07h,15.1,17.9,-12.3,27.3,36.2,-18.4
CR 2194,2017-08-16 13h,9.7,9.3,-10.1,20.4,26.1,-14.7
CR 2195,2017-09-12 20h,17.3,23.3,-11.3,28.5,38.8,-18.2
CR 2196,2017-10-10 03h,16.4,21.7,-11.1,30.6,40.6,-20.6
CR 2197,2017-11-06 09h,15,19.2,-10.9,29.2,38,-20.4
CR 2198,2017-12-03 16h,14,17,-11,29.1,39,-19.3
CR 2199,2017-12-30 22h,10.8,11.6,-10,25.6,36.5,-14.8
CR 2200,2018-01-27 05h,10.3,9.3,-11.3,26.7,35.4,-18
CR 2201,2018-02-23 12h,9.5,10.1,-8.9,24.1,34.7,-13.6
CR 2202,2018-03-22 18h,6.8,4.2,-9.4,20,25.6,-14.4
CR 2203,2018-04-19 01h,6.2,5.8,-6.6,18.7,23.4,-14
CR 2204,2018-05-16 08h,6.3,9.7,-2.9,16.5,23.1,-9.9
CR 2205,2018-06-12 14h,7,9.1,-4.8,17.7,21,-14.3
CR 2206,2018-07-09 21h,11.6,11.5,-11.6,25.3,26.3,-24.3
CR 2207,2018-08-06 03h,8.8,12,-5.5,23.1,26.3,-19.9
CR 2208,2018-09-02 10h,8.7,14,-3.5,23.8,25,-22.5
CR 2209,2018-09-29 17h,10.3,13,-7.6,26.3,25.1,-27.5
CR 2210,2018-10-26 23h,10.4,12.8,-8,25.4,24.4,-26.4
CR 2211,2018-11-23 06h,8,7.4,-8.7,21.1,18.2,-24.1
CR 2212,2018-12-20 12h,7.6,7,-8.3,22.5,22.2,-22.8
CR 2213,2019-01-16 19h,7.5,4.4,-10.7,21.2,17.2,-25.1
CR 2214,2019-02-13 02h,6.6,4.6,-8.6,16.1,14.2,-18.1
CR 2215,2019-03-12 08h,7.7,6.2,-9.3,19.3,14.8,-23.9
CR 2216,2019-04-08 15h,8.2,6.3,-10,20.7,14.3,-27.1
CR 2217,2019-05-05 21h,8.5,7.5,-9.4,25.1,22.7,-27.4
CR 2218,2019-06-02 04h,6.5,6.6,-6.5,20.9,19.4,-22.4
CR 2219,2019-06-29 11h,6.9,7.6,-6.1,19.8,17.6,-22
CR 2220,2019-07-26 17h,8.7,10.6,-6.8,18.6,15.9,-21.3
CR 2221,2019-08-23 00h,7.3,9.8,-4.7,17.5,12.6,-22.4
CR 2222,2019-09-19 06h,5.7,9.1,-2.4,16.8,12.6,-20.9
CR 2223,2019-10-16 13h,5.3,7.3,-3.4,15.3,10.9,-19.8
CR 2224,2019-11-12 20h,5.9,7,-4.8,14.6,11.2,-18.1
CR 2225,2019-12-10 02h,6.9,6,-7.7,13.6,7.9,-19.3
CR 2226,2020-01-06 09h,4.3,2,-6.6,10.8,6.9,-14.6
CR 2227,2020-02-02 15h,3,1.3,-4.8,9.1,4.8,-13.3
CR 2228,2020-02-29 22h,3,2.5,-3.6,7.5,5.6,-9.5
CR 2229,2020-03-28 05h,3.3,2.7,-3.9,8.8,7.9,-9.6
CR 2230,2020-04-24 11h,2.1,1.8,-2.4,6.1,6.4,-5.8
CR 2231,2020-05-21 18h,5.2,5,-5.4,14.5,10.8,-18.2
CR 2232,2020-06-18 00h,4,7.4,-0.5,9.1,11.3,-6.8
CR 2233,2020-07-15 07h,6.6,7.7,-5.5,15,13.8,-16.2
CR 2234,2020-08-11 14h,6.3,9.1,-3.5,14,14.5,-13.5
CR 2235,2020-09-07 20h,8.2,10.6,-5.8,14.5,13.9,-15.1
CR 2236,2020-10-05 03h,10.7,9.9,-11.5,16.9,13,-20.8
CR 2237,2020-11-01 10h,13.2,17.1,-9.2,21.7,27.2,-16.2
CR 2238,2020-11-28 16h,14.8,10,-19.6,37.3,31.3,-43.2
CR 2239,2020-12-25 23h,8.5,4.6,-12.4,23.1,22,-24.3
CR 2240,2021-01-22 05h,9.3,5.3,-13.3,23.2,16.5,-30
CR 2241,2021-02-18 12h,11.3,9,-13.6,21.7,14.1,-29.3
CR 2242,2021-03-17 19h,11.9,9.8,-14,25.6,18.4,-32.9
CR 2243,2021-04-14 01h,11.9,9.8,-13.9,24.1,18.7,-29.6
CR 2244,2021-05-11 08h,9.8,12.1,-7.5,22.3,21.4,-23.2
CR 2245,2021-06-07 14h,11.4,13.3,-9.6,30.6,22.1,-39.2
CR 2246,2021-07-04 21h,9.3,13.2,-5.4,23.7,23.1,-24.4
CR 2247,2021-08-01 04h,9,12,-6,22.7,23.1,-22.3
CR 2248,2021-08-28 10h,15.2,15.4,-15.1,33.2,25.2,-41.2
CR 2249,2021-09-24 17h,12,14.3,-9.8,24.5,18.7,-30.4
CR 2250,2021-10-21 23h,14,16.5,-11.5,30.2,26.4,-34
CR 2251,2021-11-18 06h,19.5,16.7,-22.4,35.4,26.6,-44.2
CR 2252,2021-12-15 13h,23.6,19,-28.2,40.5,30.8,-50.2
CR 2253,2022-01-11 19h,28.9,20.2,-37.6,46,34.7,-57.3
CR 2254,2022-02-08 02h,30.9,28.1,-33.7,49.5,45.4,-53.6
CR 2255,2022-03-07 08h,29.2,33.6,-24.7,50.5,53.3,-47.7
CR 2256,2022-04-03 15h,45.9,52.1,-39.6,64.1,67.9,-60.3
CR 2257,2022-04-30 22h,57.6,56.1,-59,73.8,73.1,-74.4
CR 2258,2022-05-28 04h,61,56.8,-65.3,74.9,75,-74.9
CR 2259,2022-06-24 11h,68.7,64.3,-73.1,74.7,74.9,-74.4
CR 2260,2022-07-21 17h,67.8,61.8,-73.8,74.3,74.9,-73.7
CR 2261,2022-08-18 00h,65.6,59,-72.2,73,72.1,-73.9
CR 2262,2022-09-14 07h,72.3,74.6,-70.1,71,70.7,-71.2
CR 2263,2022-10-11 13h,74.3,73.5,-75.1,67,73.3,-60.6
CR 2264,2022-11-07 20h,72.9,70.6,-75.1,63.3,73.9,-52.6
CR 2265,2022-12-05 02h,64,73.2,-54.9,67.3,72.7,-61.9
CR 2266,2023-01-01 09h,73.3,73.2,-73.5,73.8,72.6,-75
CR 2267,2023-01-28 16h,74.6,75,-74.1,74.4,73.8,-75.1
CR 2268,2023-02-24 22h,74.3,73.9,-74.6,74.4,74.3,-74.5
CR 2269,2023-03-24 05h,68.4,62.5,-74.2,74.7,74.7,-74.6
CR 2270,2023-04-20 12h,73.9,75.1,-72.7,73.2,71.4,-75
CR 2271,2023-05-17 18h,71.5,74.9,-68.1,74.2,73.3,-75
CR 2272,2023-06-14 01h,70.7,72.2,-69.2,74.5,74,-75
CR 2273,2023-07-11 07h,70.3,68.9,-71.6,68.2,68.5,-67.8
CR 2274,2023-08-07 14h,73.9,73.7,-74.2,72.1,75,-69.2
CR 2275,2023-09-03 21h,72.7,70.6,-74.9,74.6,74.2,-75.1
CR 2276,2023-10-01 03h,72,74.1,-69.9,74.7,74.2,-75.2
CR 2277,2023-10-28 10h,62,69.5,-54.6,74.5,74.2,-74.8
CR 2278,2023-11-24 16h,60.8,67.9,-53.7,72.9,71.1,-74.6
CR 2279,2023-12-21 23h,55.7,49,-62.4,66.8,58.7,-74.8
CR 2280,2024-01-18 06h,60.4,68.9,-51.8,71.4,74.6,-68.3
CR 2281,2024-02-14 12h,68.1,69.3,-66.9,72.6,75.1,-70.2
CR 2282,2024-03-12 19h,69.3,74.2,-64.3,74.5,75.1,-74
CR 2283,2024-04-09 01h,60.3,66.9,-53.7,74.5,74.9,-74
CR 2284,2024-05-06 08h,56.7,50.4,-63,68.2,61.5,-74.9
CR 2285,2024-06-02 15h,57.6,47.3,-68,65.2,65.2,-65.3
CR 2286,2024-06-29 21h,46.6,40.8,-52.4,66.3,57.6,-75
CR 2287,2024-07-27 04h,52.7,41.6,-63.7,63.7,52.3,-75.2
CR 2288,2024-08-23 10h,61.9,49.1,-74.7,67.3,60.4,-74.3
CR 2289,2024-09-19 17h,62.3,52.6,-72,70.6,66.2,-75.1
CR 2290,2024-10-17 00h,62.6,55.6,-69.5,73.3,71.5,-75.2
CR 2291,2024-11-13 06h,64,54.1,-73.9,74.7,75,-74.5
CR 2292,2024-12-10 13h,63.2,53.1,-73.3,74.5,75,-74
CR 2293,2025-01-06 19h,61.2,53.1,-69.2,74.1,74.3,-74
